,Artist,Title,Album,Path,OK/KO,Style,Genres,Labels
1313,RDL Shellah,Smurphy - DesertK&QLove Riddim,Streets,/Volumes/TOSHIBA/Rekordbox_database_selected/RDL Shellah - Streets - 02 Smurphy - DesertK&QLove Riddim.mp3,OK,error,error,error
1335,rkeat.,rodeo,rkeat - the changes ep,/Volumes/TOSHIBA/Rekordbox_database_selected/rkeat. - rkeat - the changes ep - 03 rodeo.mp3,OK,error,error,error
1337,rkeat.,rip,rkeat - the changes ep,/Volumes/TOSHIBA/Rekordbox_database_selected/rkeat. - rkeat - the changes ep - 04 rip.mp3,OK,error,error,error
1339,rkeat.,querida (rkeat flip),rkeat - the changes ep,/Volumes/TOSHIBA/Rekordbox_database_selected/rkeat. - rkeat - the changes ep - 05 querida (rkeat flip).mp3,OK,error,error,error
1342,Minor Science,Underripe,Whities 008 [Ep],/Volumes/TOSHIBA/Rekordbox_database_selected/Minor Science - Underripe.mp3,OK,error,error,error
1355,Roska,Roska - Killin' It ft. TT The Artist,MOM039: Roska - Jammed EP,/Volumes/TOSHIBA/Rekordbox_database_selected/Roska - MOM039- Roska - Jammed EP - 01 Roska - Killin' It ft. TT The Artist.mp3,OK,error,error,error
1357,Roska,Roska - Jammed,MOM039: Roska - Jammed EP,/Volumes/TOSHIBA/Rekordbox_database_selected/Roska - MOM039- Roska - Jammed EP - 02 Roska - Jammed.mp3,OK,error,error,error
1359,Roska,Roska - Cool Down,MOM039: Roska - Jammed EP,/Volumes/TOSHIBA/Rekordbox_database_selected/Roska - MOM039- Roska - Jammed EP - 03 Roska - Cool Down.mp3,OK,error,error,error
1370,IBON,No Sleep,Kulør 001,/Volumes/TOSHIBA/Rekordbox_database_selected/IBON - No Sleep.mp3,OK,error,error,error
1394,Qant,Leap Of Faith,Transgressive EP [VIBEZLTD93002],/Volumes/TOSHIBA/Rekordbox_database_selected/Qant - Leap Of Faith.mp3,OK,error,error,error
1429,SlugDown,Há Dias,Sun Box,/Volumes/TOSHIBA/Rekordbox_database_selected/SlugDown - Sun Box - 06 Há Dias.mp3,OK,error,error,error
1433,Truncate,Transients (Mike Gervais Remix),Transients (WEB),/Volumes/TOSHIBA/Rekordbox_database_selected/truncate-transients_(mike_gervais_remix).mp3,OK,error,error,error
1437,Funeral Future,Heute Nicht,Kulør 001,/Volumes/TOSHIBA/Rekordbox_database_selected/Funeral Future - Heute Nicht.mp3,OK,error,error,error
1445,Truncate,Transients V1 (Original Mix),Transients (WEB),/Volumes/TOSHIBA/Rekordbox_database_selected/truncate-transients_v1_(original_mix).mp3,OK,error,error,error
1449,Truncate,Transients (Drumcell Remix),Transients (WEB),/Volumes/TOSHIBA/Rekordbox_database_selected/truncate-transients_(drumcell_remix).mp3,OK,error,error,error
1450,Sockethead,Coarse Ground,SPORTS 3,/Volumes/TOSHIBA/Rekordbox_database_selected/Sockethead - Coarse Ground.mp3,OK,error,error,error
1455,Sprawl + D'Arcangelo Remix,A2 - The Contact,Time Tunnel,/Volumes/TOSHIBA/Rekordbox_database_selected/Sprawl + D'Arcangelo Remix - Time Tunnel - 02 A2 - The Contact.mp3,OK,error,error,error
1457,Sprawl + D'Arcangelo Remix,B2 - Electrome (D'Arcangelo Remix),Time Tunnel,/Volumes/TOSHIBA/Rekordbox_database_selected/Sprawl + D'Arcangelo Remix - Time Tunnel - 05 B2 - Electrome (D'Arcangelo Remix).mp3,OK,error,error,error
1483,Tebra X Double Precision,Outro,Jokini,/Volumes/TOSHIBA/Rekordbox_database_selected/Tebra X Double Precision - Jokini - 08 Outro.mp3,OK,error,error,error
1486,TEMPEST,"THUS, LIGHT",UNFULFILLED EP,"/Volumes/TOSHIBA/Rekordbox_database_selected/TEMPEST - UNFULFILLED EP - 03 THUS, LIGHT.mp3",OK,error,error,error
1488,TEMPEST,MISFIT HILLS,UNFULFILLED EP,/Volumes/TOSHIBA/Rekordbox_database_selected/TEMPEST - UNFULFILLED EP - 02 MISFIT HILLS.mp3,OK,error,error,error
1490,TEMPEST,III,UNFULFILLED EP,/Volumes/TOSHIBA/Rekordbox_database_selected/TEMPEST - UNFULFILLED EP - 04 III.mp3,OK,error,error,error
1492,TEMPEST,ABDTBL,UNFULFILLED EP,/Volumes/TOSHIBA/Rekordbox_database_selected/TEMPEST - UNFULFILLED EP - 05 ABDTBL.mp3,OK,error,error,error
1505,Somah feat. Rider Shafique,Hebrew Flip,Dark Arts,/Volumes/TOSHIBA/Rekordbox_database_selected/somah_feat_rider_shafique-hebrew_flip-abdbfd6a.mp3,OK,error,error,error
1512,La Zowi/Pablo Chill-E/Xander,Boss,Élite,/Volumes/TOSHIBA/Rekordbox_database_selected/La Zowi - Boss.mp3,OK,error,error,error
1514,Truncate,Transients V2 (Original Mix),Transients (WEB),/Volumes/TOSHIBA/Rekordbox_database_selected/truncate-transients_v2_(original_mix).mp3,OK,error,error,error
1522,Treega,We Da Dogs,Trasher EP,/Volumes/TOSHIBA/Rekordbox_database_selected/Treega - Trasher EP - 02 We Da Dogs.mp3,OK,error,error,error
1524,Treega,Uoppa Dive,Trasher EP,/Volumes/TOSHIBA/Rekordbox_database_selected/Treega - Trasher EP - 03 Uoppa Dive.mp3,OK,error,error,error
1526,Trev,Of The Sorcerer,CoOp Presents: Plug One,/Volumes/TOSHIBA/Rekordbox_database_selected/Trev - Of The Sorcerer.mp3,OK,error,error,error
1529,Repro,Hot Lead Payoff,Kulør 001,/Volumes/TOSHIBA/Rekordbox_database_selected/Repro - Hot Lead Payoff.mp3,OK,error,error,error
1541,Unknown Artists,A - Gomma Piuma,Gomma Piuma,/Volumes/TOSHIBA/Rekordbox_database_selected/Unknown Artists - Gomma Piuma - 01 A - Gomma Piuma.mp3,OK,error,error,error
1545,Alxs.f,Lattice,DAAF TRAX 2,/Volumes/TOSHIBA/Rekordbox_database_selected/Alxs.f - DAAF TRAX 2 - 14 Lattice.mp3,OK,error,error,error
1547,CRAZED (BR),Certo Pelo Certo,DAAF TRAX 2,/Volumes/TOSHIBA/Rekordbox_database_selected/CRAZED (BR) - DAAF TRAX 2 - 01 Certo Pelo Certo.mp3,OK,error,error,error
1549,Lv Amaj,Pokemon Blanco Y Negro,DAAF TRAX 2,/Volumes/TOSHIBA/Rekordbox_database_selected/Lv Amaj - DAAF TRAX 2 - 20 Pokemon Blanco Y Negro.mp3,OK,error,error,error
1551,Mezer,Dont Give A F,DAAF TRAX 2,/Volumes/TOSHIBA/Rekordbox_database_selected/Mezer - DAAF TRAX 2 - 11 Dont Give A F.mp3,OK,error,error,error
1553,Mister Bellini,Labyrinth,DAAF TRAX 2,/Volumes/TOSHIBA/Rekordbox_database_selected/Mister Bellini - DAAF TRAX 2 - 09 Labyrinth.mp3,OK,error,error,error
1555,Obzerv,Human,DAAF TRAX 2,/Volumes/TOSHIBA/Rekordbox_database_selected/Obzerv - DAAF TRAX 2 - 04 Human.mp3,OK,error,error,error
1557,Parallel Journey,Walkin Around,DAAF TRAX 2,/Volumes/TOSHIBA/Rekordbox_database_selected/Parallel Journey - DAAF TRAX 2 - 19 Walkin Around.mp3,OK,error,error,error
1559,Shevinkields,Beneath My Face,DAAF TRAX 2,/Volumes/TOSHIBA/Rekordbox_database_selected/Shevinkields - DAAF TRAX 2 - 08 Beneath My Face.mp3,OK,error,error,error
1561,Skrpump,Ti 4mo,DAAF TRAX 2,/Volumes/TOSHIBA/Rekordbox_database_selected/Skrpump - DAAF TRAX 2 - 12 Ti 4mo.mp3,OK,error,error,error
1563,Verde,Bend Range,DAAF TRAX 2,/Volumes/TOSHIBA/Rekordbox_database_selected/Verde - DAAF TRAX 2 - 05 Bend Range.mp3,OK,error,error,error
1565,xk21,Cascade,DAAF TRAX 2,/Volumes/TOSHIBA/Rekordbox_database_selected/xk21 - DAAF TRAX 2 - 13 Cascade.mp3,OK,error,error,error
1567,Yermak,Turn It Out,DAAF TRAX 2,/Volumes/TOSHIBA/Rekordbox_database_selected/Yermak - DAAF TRAX 2 - 07 Turn It Out.mp3,OK,error,error,error
1569,V/A,B1. Textasy - Wave Racer,SECRET RAVE 02,/Volumes/TOSHIBA/Rekordbox_database_selected/V-A - SECRET RAVE 02 - 03 B1. Textasy - Wave Racer.mp3,OK,error,error,error
