,Artist,Album,style,genres,labels
171,Szare,Kodiak _ Translocated,['Techno'],['Electronic'],Different Circles
172,Schacke,Kul 001,"['Techno', 'Trance']",['Electronic'],Kulør
173,Repro,Kul 001,"['Techno', 'Trance']",['Electronic'],Kulør
174,Funeral Future,Kul 001,"['Techno', 'Trance']",['Electronic'],Kulør
175,J_Kenzo,Ruffhouse VIP,['Dubstep'],['Electronic'],Not On Label
176,J_Kenzo,Shark Eye _ Asutoraru,['Dubstep'],['Electronic'],Artikal Music UK
177,EGOLESS,Solidarity in Dub,['Dub'],"['Electronic', 'Reggae']",Not On Label (Egoless Self-released)
178,Logic1000,LOGIC1000,"['Dubstep', 'House']",['Electronic'],Because Music
179,H.R_,SPORTS 3,"['Experimental', 'Modern', 'Musique Concrète', 'Field Recording']","['Electronic', 'Non-Music', 'Classical']",Not On Label
181,DJ Metatron,Loops of Infinity (A Rave Loveletter),"['Ambient', 'Breakbeat', 'Breaks', 'Techno', 'Neo Trance', 'Trance']",['Electronic'],All Possible Worlds
182,Sikka Rymes,Love Di People EP,"['Dancehall', 'Experimental', 'Bassline']","['Electronic', 'Reggae']",Bokeh Versions
185,Fabio Fabio,Masochistas EP (IVR011),['Electro'],['Electronic'],Ivreatronic
186,James Shinra,Meteor EP,"['Acid', 'Electro', 'IDM']",['Electronic'],Analogical Force
187,Kinlaw & Franco Franco,Mezzi Umani Mezze Macchine,"['Trap', 'Industrial', 'Post-Punk']","['Electronic', 'Hip Hop']",Avon Terror Corps
188,Pearson Sound X Clara!,Mi Cuerpo,"['Reggaeton', 'House', 'Dubstep']","['Electronic', 'Latin']",Pearson Sound
189,YOUTH,Blazer Sound System - YO6TH,"['Dub', 'Breakbeat']",['Electronic'],Youth
190,YOUTH,Nuclear Winter _ Heavy Rain - Y15TH,['Dubstep'],['Electronic'],Youth
191,a rocket in dub,normal dub,"['Dub', 'Dub Techno', 'IDM']",['Electronic'],Krachladen Dub
192,Yak,Mido _ Darunia,"['Techno', 'Tribal']",['Electronic'],Version (2)
193,Yak,Umbra _ Kaepora,['Dubstep'],['Electronic'],Version (2)
194,Jerico,Run That,"['Europop', 'Soul', 'Ballad']","['Electronic', 'Funk / Soul', 'Pop']",EMI
196,Klaus,Sabz _ Qua,"['Downtempo', 'Dub', 'Ambient']",['Electronic'],Tanum
197,"Sam Binga, Marcus Visionary",Sam Binga & Marcus Visionary - Doubles EP,['UK Funky'],['Electronic'],Hotline Recordings
198,Space Drum Meditation,SDM001,"['Deep House', 'Techno', 'Breakbeat', 'Leftfield']",['Electronic'],Space Drum Meditation
199,Space Drum Meditation,SDM002,"['Techno', 'Experimental', 'Electro']",['Electronic'],Space Drum Meditation
200,Space Drum Meditation,SDM003,"['Tribal', 'Experimental', 'Techno']",['Electronic'],Space Drum Meditation
